Collection_ID	Family	Genus	Species	Country	Province	County	Latitude	Longitude	Month	Year	Population	Eye	Mouth_position	Caudal_fin_shape	Eye	Eye_ball	Snout	Mouth_width	Mouth_length	AD	B_height	C_height	D_height	DI	AE	FG	FH	IM	IK	I_depth	JL	JW	K_depth	NO	O_depth	NP	QR	QU	ST	RV	AS	AT	DID
73047	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.35	106.57	NA	2001	Mi10	Reduced	Sub-Terminal	forked	6.63	1.14	8.51	6.12	4.15	22.18	6.71	9.02	15.86	31.25	28.9	4.29	26.99	22.65	15.8	30.99	20.64	5.23	22.61	9.93	15.02	19	14.72	NA	11.11	NA	100.36	111.47	51.72
73048	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.35	106.57	NA	2001	Mi10	Reduced	Sub-Terminal	forked	8.05	1.35	6.91	4.14	1.92	17.4	3.95	5.96	12.05	24.85	20.47	2.39	16.13	17.32	11.4	19.07	14.94	3.68	14.91	7.09	9.4	14.09	9.92	19.47	7.48	21.62	80.04	87.52	25.05
78722	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi 	Lingyun	24.35	106.56	November	2001	Mi10	Reduced	Sub-Terminal	forked	7.42	1.04	9.65	6.96	4.1	24.83	9.57	10.62	16.71	35.95	29.82	4.39	26.61	25.38	18.11	33.05	NA	3.68	25.47	9.92	16.07	17.34	14.45	23.54	11.77	28.49	108.37	120.14	71.29
78723	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi 	Lingyun	24.35	106.56	November	2001	Mi10	Reduced	Sub-Terminal	forked	6.55	1.83	8.36	5.97	4.18	22.32	7.34	8.35	14.81	29.52	26.81	3.79	23.58	22.28	12.9	25.03	14.91	3.22	19.56	8.35	13.36	16.24	12.35	24.97	10.78	26.23	92.24	103.02	42.32
78960	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.06	103.63	June	2004	La1	Developed	Sub-Terminal	forked	NA	6.36	12.55	8.36	7.26	24.77	10.32	14.97	21.07	44.03	31.41	4.46	21.84	19.28	14.58	29.48	20.01	5.12	22.4	9.84	17.05	15.66	15.06	33.83	19.85	NA	116.69	136.54	93.63
78961	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.06	103.63	June	2004	La1	Developed	Sub-Terminal	forked	NA	5.4	10.45	8.67	7.66	23.98	9.07	14.09	19.04	40.82	31.46	4.04	16.75	24.4	16.62	27.45	14.53	4.84	20.48	8.57	14.3	18.35	12.56	31.24	NA	31.25	113.87	NA	64.57
78962	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.06	103.63	June	2004	La1	Developed	Sub-Terminal	forked	NA	6.28	10.84	8.66	8.77	25.73	9.56	15.35	20.17	42.93	35	4.2	24.86	NA	14.39	31.05	19.78	4.7	21.47	9.37	14.71	16.7	14.13	33.33	17.1	33.39	112.11	129.21	82.65
78963	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.06	103.63	June	2004	La1	Developed	Sub-Terminal	forked	NA	5.95	10.69	9.56	7.74	25.42	9.48	13.93	20.24	39.91	31.86	4.13	19.81	20.87	14.49	27.06	16.68	5	21.48	10.2	15.7	17.85	13.85	29.17	16.04	29.16	113.71	129.75	66.1
78964	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.06	103.63	June	2004	La1	Developed	Sub-Terminal	forked	NA	6.25	11.82	8.65	7.89	29.52	12.14	17.5	23.95	45.15	24.08	4.89	27.24	23.65	17.55	32.89	19.85	5.64	24.51	11.02	17.75	15.66	15.38	35.4	20.49	34.22	131.25	151.74	106.76
78965	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.06	103.63	June	2004	La1	Developed	Sub-Terminal	forked	NA	5.76	9.15	6.77	7.4	20.68	8.13	11.6	15.63	36.85	27.37	3.69	19.88	21.91	13.48	22.23	18.27	6.68	17.84	8.27	13.16	15.4	12.07	28.03	15.47	28.13	100.82	116.29	53.37
78976	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.9	8.58	7.08	6.36	19.36	7.99	12.08	16.03	32.26	26.17	3.24	17.24	17.72	11.76	23.53	14.58	4.3	17.44	6.93	12.43	15.69	11	23.04	13.26	NA	87.95	101.21	50.33
78977	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.11	8.08	5.44	6.45	17.03	7.35	11.19	14.97	32.04	23.62	3.2	16.64	15.34	10.11	22.35	13.55	4.14	17.8	8.37	13.21	14.84	10.78	NA	NA	NA	85.51	NA	41.84
78978	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.79	12.75	11.26	NA	NA	NA	16.08	19.89	37.26	NA	4.29	19.41	18.26	14.43	28.22	15.18	4.44	21.25	9.09	15.62	17.43	13.49	25.71	14.92	NA	NA	NA	44.91
78979	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.44	9.68	5.51	6.21	20.4	8.47	12.05	16.12	32.24	25.06	3.6	18.04	15.22	11.51	26.31	14.96	4.01	16.99	7.97	13.24	12.82	11.7	22.77	16.68	NA	90.09	106.77	39.69
78980	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.86	9.99	7.18	7.19	20.71	7.95	12.86	17.91	31.28	27.13	3.85	18.85	21.97	12.18	27.49	13.43	4.32	21.63	7.3	13.74	15.11	11.94	26.09	14.86	27.49	93.9	108.76	25.72
78981	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.66	8.58	5.73	6.06	21.52	7.34	12.52	17.32	34.03	27.96	3.92	18.64	17.17	12.08	25.92	15.12	3.91	17.65	8.14	13.89	15.24	12.24	27.9	18.81	23.94	90.09	108.9	53.72
78982	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.26	9.02	5.8	6.08	19.34	6.77	11.49	15.3	34.12	24.86	3.79	17.23	16.55	13.13	25.22	13.23	3.85	11.34	7.98	11.7	14.34	11.31	20.94	12.82	23.56	90.97	103.79	33.84
78983	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.76	9.95	7.24	6.21	21.73	8.57	12.27	19.4	36.69	26.25	3.38	18.35	18.04	12.49	27.15	15.29	4.1	21.83	9.14	15.15	16.1	12.88	24.14	13.47	24.28	96.71	110.18	51.32
78984	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.24	9.99	7.51	7.41	21.53	8.94	12.97	17.69	35.83	27	3.72	17.23	17.13	11.96	23.78	12.69	3.87	18.61	8.9	14.26	17.1	11.85	23.71	13.5	24.87	90.97	104.47	74.24
78985	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.1	12.31	9.07	8.73	24.52	11.67	15.01	21.06	34.2	31.26	3.92	21.06	NA	14.35	28.01	17.15	5.49	21.63	8.73	15.37	19.26	13.03	26.55	15.12	28.81	104.19	119.31	18.34
78986	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.87	10.76	9.69	4.75	21.82	11.47	12.4	17.39	34.21	27.57	3.03	17.69	NA	11.14	25.36	13.71	4.37	18.38	7.67	13.17	13.56	11.86	23.71	13	24.21	93.25	106.25	44.47
78987	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	4.75	8.19	6.6	5.35	18.69	9.46	11.51	16.17	28.91	22.77	3.67	16.29	17.31	12.23	22.36	14.84	3.74	16.95	6.37	11.22	13.41	10.33	23.34	13.33	23.27	80.77	94.1	34.52
78988	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.86	9.05	6.99	7.24	20.96	8.78	12.85	18.96	35.07	28.22	4.03	18.48	NA	14.61	24.22	15.2	4.06	19.66	8.37	13.61	17.96	12.76	25.88	15.87	26.45	95.87	111.74	37.22
78989	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.85	9.72	7.61	7.32	23	9.89	13.92	19.88	38.01	29.57	4.27	18.84	19.1	12.93	27.91	16.41	4.21	18.49	9.18	14.37	18.13	13.35	27.06	14.66	28.54	99.07	113.73	59.13
78990	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.07	10.3	9.19	4.38	20.66	12.24	13.61	18.24	31.94	28.57	3.34	16.02	NA	12.16	24.47	13.88	3.77	17.82	8.47	12.32	15.77	11.49	23.17	12.99	24.56	90.67	103.66	31.64
78991	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.11	10.49	7.22	7.65	22.2	8.76	12.38	17.18	35.31	28.68	3.57	18.26	21.14	13.26	24.11	15.59	4.9	18.43	7.47	13.73	14.72	11.93	24.09	15.39	21.87	95.25	110.64	50.03
78992	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.59	11.71	7.72	8.41	23.83	8.98	14.23	19.58	39.96	31.77	3.93	21.02	NA	15.11	29.57	16.87	4.97	23.08	9.03	15.97	17.73	14.53	NA	15.24	28.12	108.21	123.45	85.12
78993	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.26	9.31	7.17	6.93	20.92	8.41	12.22	17.16	33.16	25.59	4.43	17.55	17.59	11.18	23.82	15.58	4.69	18.96	8.48	12.64	16.69	11.57	21.85	12.24	24.29	91.97	104.21	35.58
78994	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.01	10.38	6.73	6.99	21.55	8.91	13.43	17.76	35.42	28.9	3.66	19.8	18.89	11.5	25.98	15.58	4.99	20.29	7.66	14.29	15.71	13.61	NA	14.26	NA	95.14	109.4	44.91
78995	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.78	9.54	7.03	7.09	20.95	10	12.9	17.37	35.07	28.53	3.71	18.52	19.21	13.25	26.6	15.47	5.08	21.73	9.1	14.34	17.37	12.22	24.43	15.53	NA	97.91	113.44	49.19
78996	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.56	9.18	6.58	6.63	21.1	9.06	13.26	16.67	31.93	28.04	3.42	17.09	15.78	12.38	23.83	13.25	3.97	18.67	7.6	13.12	12.68	11.76	23.16	14.21	22.45	89.92	104.13	37.61
78997	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.89	9.52	7.11	6.92	21.51	8.55	13.39	17.7	33.32	27.57	3.36	17.78	17.83	11.36	24.34	14.59	3.93	18.91	8.39	12.07	16.12	12.48	22.84	12.87	25.51	93.94	106.81	39.76
78998	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	5.88	9.37	6.96	6.46	22.35	8.92	12.38	18.02	34.23	29.04	3.6	21.62	20.32	12.25	24.29	17.95	5.06	18.82	10.28	12.34	18.77	12.34	25.53	16.3	26.94	95.74	112.04	26.74
78999	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.01	9.19	6.51	6.82	20.04	8.14	11.91	16.79	35.82	27.71	3.45	21.27	19.81	11.82	23.34	17.37	4.63	19.42	7.46	14.18	14.95	12.62	25.82	13.73	27.15	93.35	107.08	47.16
79000	Cyprinidae	Sinocyclocheilus	lateristritus	China	Yunnan	Luliang	25.17	103.72	June	2004	La2	Developed	Sub-Terminal	forked	NA	6.2	10.6	8.4	7.54	24.21	9.17	14.8	19.94	36.71	33.09	4.05	22.74	22.3	14.82	26.81	19.34	4.65	20.9	9.26	15.4	18.15	14.03	32.05	18.04	31.66	105.8	123.84	49.57
135532	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.58	106.72	November	2005	Mi4	Reduced	Sub-Terminal	forked	6.45	1.35	11.22	7.54	6	27.87	9.22	13.12	20.52	40.1	36.39	5.52	30.82	29.69	21.42	39.47	24.96	5.16	30.21	13.09	20.37	22.74	19.28	30.74	11.39	31.77	134.73	146.12	102.85
135533	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.58	106.72	November	2005	Mi4	Reduced	Sub-Terminal	forked	5.33	1.4	10.6	6.93	5.01	23.34	5.86	9.28	15.93	31.77	28.67	4.26	26.1	22.49	16.22	29.09	19.64	5.28	22.22	11.1	14.83	19.51	NA	NA	NA	NA	NA	NA	55.41
135534	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.58	106.72	November	2005	Mi4	Reduced	Sub-Terminal	forked	6.25	1.42	7.05	5.59	2.84	18.2	5.56	7.28	13.62	18.35	24.19	3.93	24.25	20.94	16.1	27.15	18.21	3.66	20.45	9.04	13.45	16.79	12.9	25.73	11.01	26.76	93.84	104.85	46.95
135536	Cyprinidae	Sinocyclocheilus	microphthalmus	China	Guangxi	Lingyun	24.58	106.72	November	2005	Mi4	Reduced	Sub-Terminal	forked	5.13	1.02	10.51	6.02	4.82	18.54	5.56	7.49	12	30.12	24.71	3.56	22.96	21.87	14.44	25.02	15.71	4.04	18.17	7.52	12.59	15.31	12.71	23	10.31	24.1	89.59	99.9	36.88
